IDOpiniao,aspecto,sentimento,polaridade,scorePolaridade,sentenca,trecho,supervisionado,IDCategoriaFK,IDComentarioFK
257528,pena,boa,positivo,0.9500086894910632,"Não tem 👎
Mas pizza boa só era grande o tabelião do preço mas vale a pena muito boa só não é melhor porque não tem pra ir com ele vai mais",pena,0,5,527361
257529,pizza,boa,positivo,0.9500086894910632,"Não tem 👎
Mas pizza boa só era grande o tabelião do preço mas vale a pena muito boa só não é melhor porque não tem pra ir com ele vai mais",pizza,0,3,527361
257533,música,boa,positivo,0.9500086894910632,"Ambiente agradável, boa música do pianista.",música,0,6,527362
257534,Ambiente,agradável,positivo,0.9717875145405196,"Ambiente agradável, boa música do pianista.",Ambiente,0,6,527362
257530,massa,mole,positivo,0.688470066518847,"Pedi a pizza meio a meio sabores calabresa e frango, para meu gosto não estava muito bom para o quanto paguei, o frango estava bem seco, a massa muito mole.",massa,0,3,527363
257531,pizza,meio,positivo,0.8468167917709202,"Pedi a pizza meio a meio sabores calabresa e frango, para meu gosto não estava muito bom para o quanto paguei, o frango estava bem seco, a massa muito mole.",pizza,0,3,527363
257532,sabores,calabresa,positivo,0.8383808095952024,"Pedi a pizza meio a meio sabores calabresa e frango, para meu gosto não estava muito bom para o quanto paguei, o frango estava bem seco, a massa muito mole.",sabores,0,4,527363
257562,gestão,boa,positivo,0.9500086894910632,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",gestão,0,8,528535
257563,indicador,importante,positivo,0.9089478859390364,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",indicador,0,8,528535
257564,lugar,acessível,positivo,0.9861425716189208,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",lugar,0,7,528535
257565,pizza,ótima,positivo,0.9863168364740988,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",pizza,0,3,528535
257566,atendimento,bom,positivo,0.963407814128473,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",atendimento,0,2,528535
257567,preço,justo,positivo,0.9878059534157188,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",preço,0,5,528535
257568,gaçóns,atenciosos,positivo,0.9786146331587072,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",gaçóns,0,8,528535
257569,torta,boa,positivo,0.9500086894910632,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",torta,0,3,528535
257570,lugar,familiar,positivo,0.9784343859997026,"Um lugar realmente familiar, acessível com preço justo
gaçóns atenciosos, falo isso me baseando em diversas experiências
desde a torta (muito boa) entregue ao aniversariante de graça até o estacionamento, a ótima pizza.. existe um indicador muito importante, funcionários apresentam estar bem em estar ali, o reflexo da boa gestão impacta nos funcionários que reflete no bom atendimento!",lugar,0,7,528535
257656,feliz,aniversário,positivo,0.8561808241098813,"Meus parabéns um feliz aniversário e que Deus continue li abençoando com muita saúde e felicidades.",feliz,0,4,528557
257659,homem,grande,positivo,0.9313906357307334,"Para mim foi uma honra trabalhar para esse grande homem um exemplo a ser seguido.",homem,0,8,528557
257657,feliz,aniversário,positivo,0.8561808241098813,"Um feliz aniversário para esse homem de Deus.",feliz,0,4,528558
257660,Parabéns,presente,positivo,0.9160109789569992,"Parabéns senhor Ivanildo, Deus seja sempre presente na sua vida, e que a sua graça e bondade esteja sempre ao seu alcance, acompanhado com todas bençãos que ele tem para seus filhos, parabéns,👏👏👏👏👏",Parabéns,0,8,528560
257661,homem,bom,positivo,0.963407814128473,"Feliz aniversário bom homem 👏",homem,0,8,528566
257658,Parabéns,grande,positivo,0.9313906357307334,"Parabéns grande guerreiro!",Parabéns,0,8,528568
257696,funcionário,primeiro,positivo,0.7211174242424242,"O primeiro funcionário que me atendeu foi extremamente atencioso e cordial, enquanto a moça que finalizou o atendimento poderia ter sido mais cuidadosa.",funcionário,0,4,530967
257697,ponto,certo,positivo,0.8950131233595799,"A comida estava muito saborosa e no ponto certo, proporcionando uma refeição leve, mas satisfatória.",ponto,0,7,530967
257698,experiência,especial,positivo,0.9493436684454484,"Almocei com minha namorada enquanto apreciávamos um pianista tocando ao vivo, o que tornou a experiência ainda mais especial e agradável.",experiência,0,4,530967
257699,acomodação,aconchegante,positivo,0.9893555149793738,"O ambiente é excelente, com uma acomodação muito aconchegante e bem cuidada.",acomodação,0,8,530967
257700,escolha,certeira,positivo,0.9699248120300752,"Optamos pelo cardápio kids, já que ambos comemos pouco, e foi uma escolha certeira.",escolha,0,4,530967
257701,preços,justos,positivo,0.9881247330200768,"Além disso, achei os preços justos considerando o nível do ambiente e a experiência oferecida.",preços,0,5,530967
257702,experiência,positiva,positivo,0.8702667105696411,"No geral, foi uma experiência positiva e certamente voltaria.",experiência,0,4,530967
257746,pizza,melhor,positivo,0.9327033074064036,"A melhor pizza do Recife",pizza,0,3,532188
257747,bolo,pequeno,positivo,0.9113647114474928,"Outro ponto positivo é que em datas de aniversário, normalmente, ganhamos um pequeno bolo de chocolate, dependendo do valor da conta.",bolo,0,3,532189
257748,ponto,positivo,positivo,0.7539739027283511,"Outro ponto positivo é que em datas de aniversário, normalmente, ganhamos um pequeno bolo de chocolate, dependendo do valor da conta.",ponto,0,7,532189
257850,entregador,excelente,positivo,0.9919043535940204,"Excelente entregador.",entregador,0,8,533461
257851,pizza,menor,positivo,0.7461994809047089,"Ou seja, eu fiquei sem comer porque não dava mais tempo de pedir outra coisa devido ao meu horário e meus pais já tinham pedindo uma pizza menor pq eu iria comer o couvert.",pizza,0,3,535120
257852,movimento,maior,positivo,0.8554893365512486,"Simplesmente não estão preparados para um dia de maior movimento.",movimento,0,8,535120
257853,pizza,média,positivo,0.9209728586535072,"Cheguei e pedi um couvert pois estava sem fome e só queria beliscar e então meus pais pediram uma pizza média pros 2.",pizza,0,3,535120
257854,garçonete,primeira,positivo,0.8894017599308761,"Depois de muito tempo aguardando o tal couvert foi que outro garçom veio me avisar que não tinha e enquanto isso a primeira garçonete que nos atendeu ficou MENTINDO dizendo que estava vindo o prato (nós já sabíamos que não tinha) depois de muito mais tempo que ela veio dizer que não tinha.",garçonete,0,2,535120
257855,pratos,indisponíveis,negativo,-0.5873015873015873,"Enfim, melhorem essa administração e falem logo os pratos indisponíveis ao invés de deixar o cliente esperando algo que não virá e orientem a equipe de vocês a serem resolutivos e não com mentirinhas dizendo que foram na cozinha verificar sem ter ido.",pratos,0,3,535120
257856,dia,atípico,positivo,0.696551724137931,"E eu nem to falando de um feriado ou dia atípico, estou falando de um fim de semana qualquer que todos os estabelecimentos deveriam estar habituados.",dia,0,3,535120
258147,Ambiente,agradável,positivo,0.9717875145405196,"Ambiente agradável com comida muito boa.",Ambiente,0,6,539895
258148,comida,boa,positivo,0.9500086894910632,"Ambiente agradável com comida muito boa.",comida,0,3,539895
258266,pizza,portuguesa,positivo,0.924523693209575,"Pedimos uma pizza meia portuguesa e camarão, a massa da pizza não é das melhores e o recheio da parte portuguesa achei pouco e bem estranho, muita ervilha e milho, sem o presunto, enfim em Jaboatão podemos encontrar pizzas bem melhores.",pizza,0,3,541593
258267,parte,portuguesa,positivo,0.924523693209575,"Pedimos uma pizza meia portuguesa e camarão, a massa da pizza não é das melhores e o recheio da parte portuguesa achei pouco e bem estranho, muita ervilha e milho, sem o presunto, enfim em Jaboatão podemos encontrar pizzas bem melhores.",parte,0,6,541593
258268,pizzas,melhores,positivo,0.9302396840528394,"Pedimos uma pizza meia portuguesa e camarão, a massa da pizza não é das melhores e o recheio da parte portuguesa achei pouco e bem estranho, muita ervilha e milho, sem o presunto, enfim em Jaboatão podemos encontrar pizzas bem melhores.",pizzas,0,3,541593
258401,massa,fina,positivo,0.8677462887989204,"Quando fui lá me informaram que eu podia pedir a pizza da forma que eu quisesse, massa mais fina, mais assada.",massa,0,3,541865
258402,porcaria,molenga,negativo,-0.748091603053435,"E eu pedi, mas enviaram uma porcaria molenga, seca, parecia que nem mussarela e molho tinha.",porcaria,0,8,541865
258403,restaurantes,melhores,positivo,0.9302396840528394,"Um dos melhores restaurantes de Recife.",restaurantes,0,3,541867
258417,salão,cheio,positivo,0.8755543375355025,"O problema maior veio depois, quando nossa mesa já estava completa e o salão mais cheio.",salão,0,1,541972
258418,ambiente,agradável,positivo,0.9717875145405196,"Apesar dos bons sabores e do ambiente agradável, os problemas com atendimento e tempo de espera comprometeram a experiência.",ambiente,0,6,541972
258419,problema,maior,positivo,0.8554893365512486,"O problema maior veio depois, quando nossa mesa já estava completa e o salão mais cheio.",problema,0,2,541972
258420,erro,pontual,positivo,0.8374233128834356,"Até aí, algo que poderia ter sido um erro pontual na cozinha.",erro,0,3,541972
258421,sabores,bons,positivo,0.9566941794404544,"Apesar dos bons sabores e do ambiente agradável, os problemas com atendimento e tempo de espera comprometeram a experiência.",sabores,0,4,541972
258422,ponto,positivo,positivo,0.7539739027283511,"Utilizei o sanitário e novamente tudo estava impecável, ponto positivo para a higiene do local.",ponto,0,7,541972
258423,diferencial,interessante,positivo,0.9412630215996703,"O fato de não cobrarem os 10% de serviço é um diferencial interessante, e o couvert de R$ 3,00 não é abusivo, considerando outros restaurantes.",diferencial,0,6,541972
258424,situação,desagradável,negativo,-0.6222444889779559,"Logo na chegada, fui surpreendido por uma situação desagradável.",situação,0,3,541972
258425,pizza,doce,positivo,0.9383528559352736,"Algumas pizzas salgadas estavam excelentes, mas a pizza doce de M&Ms deixou a desejar – parecia que faltava algo na massa ou nos ingredientes para realçar o sabor.",pizza,0,3,541972
258499,Prato,desproporcional,positivo,0.5211726384364821,"Prato desproporcional, muito arroz duro e pouco acompanhamento.",Prato,0,3,542121
258500,paciência,total,positivo,0.5498240563019834,"Excelente,  pois o atendimento foi rápido e com total paciência da atendente.",paciência,0,8,542122
258714,economia,franciscana,positivo,0.6,"Me senti lesado em pagar uma pizza mais cara do cardápio e ela me se entregue com economia franciscana.",economia,0,8,546774
258715,pratos,cheios,positivo,0.9217824128940508,"Nas 3 vezes que fui, os garçons retiraram os pratos ainda cheios sem autorização, pedidos errados e muita demora pra resolver.",pratos,0,3,546776
258855,clássico,verdadeiro,positivo,0.866601752677702,"Um verdadeiro clássico que atravessa gerações na minha família!",clássico,0,2,548201
258856,qualidade,impecável,positivo,0.9919202716297788,"O sabor é inconfundível, a qualidade impecável e o atendimento excelente.",qualidade,0,5,548201
258857,custo,adicional,positivo,0.954984246162097,"Além disso, é possível realizar festas de aniversário, decorar o espaço e reservar para os convidados sem custo adicional.",custo,0,5,548201
258858,atendimento,excelente,positivo,0.9919043535940204,"O sabor é inconfundível, a qualidade impecável e o atendimento excelente.",atendimento,0,2,548201
258859,parquinho,grande,positivo,0.9313906357307334,"A unidade de Olinda ainda conta com um parquinho grande e recreadora, garantindo a diversão das crianças.",parquinho,0,6,548201
258860,escolha,favorita,positivo,0.9593425605536332,"Desde 1996, quando cheguei a Recife com apenas 6 anos, acompanhei todo o crescimento do restaurante e, até hoje, continua sendo minha escolha favorita.",escolha,0,4,548201
258928,tomate,seco,positivo,0.5672187567218757,"A pizza de quatro queijos e tomate seco estava maravilhosa, bem assadinha 😋",tomate,0,3,549669
259014,música,boa,positivo,0.9500086894910632,"Um lugar incrível, comida boa, ambiente aconchegante, música boa, parquinho para as crianças e um atendimento maravilhoso principalmente em relação a comemoração de aniversário.",música,0,6,551098
259015,comida,boa,positivo,0.9500086894910632,"Um lugar incrível, comida boa, ambiente aconchegante, música boa, parquinho para as crianças e um atendimento maravilhoso principalmente em relação a comemoração de aniversário.",comida,0,3,551098
259016,ambiente,aconchegante,positivo,0.9893555149793738,"Um lugar incrível, comida boa, ambiente aconchegante, música boa, parquinho para as crianças e um atendimento maravilhoso principalmente em relação a comemoração de aniversário.",ambiente,0,6,551098
259017,lugar,incrível,positivo,0.9766774641369736,"Um lugar incrível, comida boa, ambiente aconchegante, música boa, parquinho para as crianças e um atendimento maravilhoso principalmente em relação a comemoração de aniversário.",lugar,0,7,551098
259018,atendimento,maravilhoso,positivo,0.9917564567653908,"Um lugar incrível, comida boa, ambiente aconchegante, música boa, parquinho para as crianças e um atendimento maravilhoso principalmente em relação a comemoração de aniversário.",atendimento,0,2,551098
259019,preços,justos,positivo,0.9881247330200768,"Ótima comida, preços justos.",preços,0,5,551099
259395,gostinho,delicioso,positivo,0.9937293729372936,"o gostinho delicioso nunca muda, cresci aí... nunca deixou de ser um estabelecimento excelente!",gostinho,0,2,552682
259396,estabelecimento,excelente,positivo,0.9919043535940204,"o gostinho delicioso nunca muda, cresci aí... nunca deixou de ser um estabelecimento excelente!",estabelecimento,0,2,552682
260026,atendimento,bom,positivo,0.963407814128473,"Excelente comida, bom atendimento e excelente comida.",atendimento,0,2,555954
260027,comida,excelente,positivo,0.9919043535940204,"Excelente comida, bom atendimento e excelente comida.",comida,0,3,555954
260028,refeição,cartão,positivo,0.7816933638443936,"Aceita pagamento com cartão refeição.",refeição,0,3,555954
260025,Lugar,tranquilo,positivo,0.9794048897593024,"Lugar tranquilo no período da tarde.",Lugar,0,7,556017
260029,atendimento,impecável,positivo,0.9919202716297788,"A pizza é maravilhosa, e o atendimento, impecável.",atendimento,0,2,556019
260064,espaço,kids,positivo,0.9295942720763724,"O ambiente é maravilhoso, o espaço kids é muito massa, as pizzas são muito saborosas.",espaço,0,6,556095
260065,Carne,deliciosa,positivo,0.9944337556418726,"Carne de sol deliciosa",Carne,0,3,556096
260193,boca,incrível,positivo,0.9766774641369736,"Kkkk derrete na boca, incrível.",boca,0,3,556363
260194,pizza,gostosa,positivo,0.9696347552784326,"Perfeito, qual o segredo dá pizza tão gostosa?",pizza,0,3,556363
260297,pizza,melhor,positivo,0.9327033074064036,"A melhor pizza 🍕 do Recife 💕
A de camarão 🍤 com catupiry é perfeita 💕",pizza,0,3,556586
260298,pratos,saborosos,positivo,0.9829658605974396,"Boa música ao piano e pratos muito saborosos.",pratos,0,3,556664
260299,Ambiente,acolhedor,positivo,0.9893299952312828,"Ambiente muito acolhedor e sofisticado.",Ambiente,0,6,556664
260300,Atendimento,profissional,positivo,0.8862255232950709,"Atendimento profissional.",Atendimento,0,2,556664
260301,música,boa,positivo,0.9500086894910632,"Boa música ao piano e pratos muito saborosos.",música,0,6,556664
260393,frango,melhor,positivo,0.9327033074064036,"O melhor frango a parmegiana do Recife é de Olinda.",frango,0,3,556778
260394,atendimento,telefônico,positivo,0.7045454545454546,"O atendimento telefônico é horrível, os atendentes não tem o mínimo de paciência!",atendimento,0,2,556780
260465,localização,excelente,positivo,0.9919043535940204,"Excelente localização, estacionamento, ambiente climatizado, limpo e organizado.",localização,0,7,557077
260466,Pratos,deliciosos,positivo,0.9957864092545776,"Pratos deliciosos e preços adequados.",Pratos,0,3,557077
260467,espaço,kids,positivo,0.9295942720763724,"Ambiente bom, espaço kids , a pizza maravilhosa como sempre , os preços salgados mas faz jus a qualidade!!",espaço,0,6,557079
260468,pizza,maravilhosa,positivo,0.9906806299262348,"Ambiente bom, espaço kids , a pizza maravilhosa como sempre , os preços salgados mas faz jus a qualidade!!",pizza,0,3,557079
260469,Ambiente,bom,positivo,0.963407814128473,"Ambiente bom, espaço kids , a pizza maravilhosa como sempre , os preços salgados mas faz jus a qualidade!!",Ambiente,0,6,557079
260470,custo,benefício,positivo,0.9564799560680944,"Comida excelente, com custo benefício ótimo e atendimento muito bom",custo,0,5,557081
260471,Comida,excelente,positivo,0.9919043535940204,"Comida excelente, com custo benefício ótimo e atendimento muito bom",Comida,0,3,557081
260472,atendimento,bom,positivo,0.963407814128473,"Comida excelente, com custo benefício ótimo e atendimento muito bom",atendimento,0,2,557081
260473,custo,ótimo,positivo,0.9884785196216967,"Comida excelente, com custo benefício ótimo e atendimento muito bom",custo,0,5,557081
260542,cara,feia,negativo,-0.6835016835016835,"Não gostei, ainda mais porque a atendente estava com a cara feia.",cara,0,2,557284
260543,atendimento,péssimo,negativo,-0.925369720994054,"Hoje, dia 05.04.25 que atendimento péssimo, Pizzaria Atlântico.",atendimento,0,2,557285
260544,lugar,pior,negativo,-0.8972922502334267,"De todos os lugares que já fui aq foi o pior lugar!",lugar,0,7,557286
260545,mal,cheiro,positivo,0.6546717171717171,"Já no ambiente Kids é super espaçoso e tem bastante variedade de brinquedos porém estava com um mal cheiro, acho que era de mofo.",mal,0,3,557289
260616,comida,agradável,positivo,0.9717875145405196,"Lugar e comida agradável, apenas o serviço poderia melhorar.",comida,0,3,557388
260632,Ambiente,familiar,positivo,0.9784343859997026,"Ambiente familiar e muito badalada.",Ambiente,0,6,557490
260633,preço,razoável,positivo,0.8648198391165691,"De preço razoável.",preço,0,5,557490
